name,price,capacity,price_per_gb,type,form_factor,interface
Western Digital Blue,52.99,500,0.106,SSD,2.5,SATA 6.0 Gb/s
ADATA XPG SX8200 Pro,84.99,2000,0.042,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN850X w/Heatsink,79.98,1000,0.08,SSD,M.2-2280,M.2 PCIe 4.0 X4
SK Hynix Platinum P41,89.99,1000,0.09,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,78.98,2000,0.039,SSD,M.2-2280,M.2 PCIe 4.0 X4
Intel 670p,27.99,512,0.055,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,109.99,2000,0.055,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial P2,62.9,1000,0.063,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM710,47.99,1000,0.048,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate EXOS Enterprise,259.99,16000,0.016,7200,3.5,SATA 6.0 Gb/s
Seagate FireCuda 530,327.23,4000,0.082,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital DC HC530,162.97,14000,0.012,7200,3.5,SATA 6.0 Gb/s
Corsair MP600 CORE XT,56.99,1000,0.057,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,100.27,3000,0.033,7200,3.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,47.99,1000,0.048,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,218.95,4000,0.055,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MS30,26.99,512,0.053,SSD,M.2-2280,M.2 SATA
Samsung 860 Pro,1175,4000,0.294,SSD,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,249.99,10000,0.025,7200,3.5,SATA 6.0 Gb/s
ADATA SU630,48.87,240,0.204,SSD,2.5,SATA 6.0 Gb/s
SK Hynix Gold P31,63.99,1000,0.064,SSD,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,119.99,2000,0.06,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,24.99,250,0.1,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA Legend 800,43.99,1000,0.044,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP CX2,39.99,1000,0.04,SSD,2.5,SATA 6.0 Gb/s
Western Digital Red Pro,410.47,22000,0.019,7200,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Z44L,54.4,1000,0.054,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP34,46.99,1000,0.047,SSD,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,250,4000,0.062,SSD,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,71.48,2000,0.036,SSD,2.5,SATA 6.0 Gb/s
Seagate FireCuda 540,299.99,2000,0.15,SSD,M.2-2280,M.2 PCIe 5.0 X4
Gigabyte AORUS Gen5 12000,264.99,2000,0.132,SSD,M.2-2280,M.2 PCIe 5.0 X4
Silicon Power A55,41.97,1000,0.042,SSD,2.5,SATA 6.0 Gb/s
Western Digital Black SN850,68.95,1000,0.069,SSD,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket Q,49.99,1000,0.05,SSD,M.2-2280,M.2 PCIe 3.0 X4
Toshiba DT01ACA100,49.02,1000,0.049,7200,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,189.99,10000,0.019,7200,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,84.99,2000,0.042,7200,3.5,SATA 6.0 Gb/s
Lexar NM710,89.99,2000,0.045,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea A440 Pro,52.99,1000,0.053,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Surveillance HDD,,2000,,5400,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,24.99,512,0.049,SSD,2.5,SATA 6.0 Gb/s
Western Digital Blue SN550,40.88,500,0.082,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,129.99,8000,0.016,5640,3.5,SATA 6.0 Gb/s
PNY CS900,39.99,1000,0.04,SSD,2.5,SATA 6.0 Gb/s
Silicon Power A55,20.97,256,0.082,SSD,2.5,SATA 6.0 Gb/s
Crucial BX500,24.78,240,0.103,SSD,2.5,SATA 6.0 Gb/s
Kingston KC3000,49.87,512,0.097,SSD,M.2-2280,M.2 PCIe 4.0 X4
Leven JPS800,47.99,1000,0.048,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MS30,40.99,1000,0.041,SSD,M.2-2280,M.2 SATA
Silicon Power A55,27.97,512,0.055,SSD,2.5,SATA 6.0 Gb/s
Western Digital Black SN750,67.95,500,0.136,SSD,M.2-2280,M.2 PCIe 3.0 X4
Intel 660p,73,1020,0.072,SSD,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power P34A60,22.97,256,0.09,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea A440 Pro,219.99,4000,0.055,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,48.88,3000,0.016,5400,3.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,49.99,1000,0.05,SSD,2.5,SATA 6.0 Gb/s
Crucial BX500,24.99,480,0.052,SSD,2.5,SATA 6.0 Gb/s
Western Digital Blue,47.99,2000,0.024,5400,3.5,SATA 6.0 Gb/s
Crucial P1,119,1000,0.119,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston A2000,93.99,1000,0.094,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate ST6000NM0024,74.98,6000,0.012,7200,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,34.99,250,0.14,SSD,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG04ACA400N,53.88,4000,0.013,7200,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,349.99,20000,0.017,7200,3.5,SATA 6.0 Gb/s
Crucial P2,44.99,500,0.09,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,18.98,256,0.074,SSD,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO LPX,127.99,2000,0.064,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,49.49,250,0.198,SSD,2.5,SATA 6.0 Gb/s
Crucial T700 W/Heatsink,167.99,1000,0.168,SSD,M.2-2280,M.2 PCIe 5.0 X4
Leven JP600,149.99,4000,0.037,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Desktop HDD,,4000,,5900,3.5,SATA 6.0 Gb/s
Samsung 980 Pro,88.99,250,0.356,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,16.98,240,0.071,SSD,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,269.99,16000,0.017,7200,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,179.99,8000,0.022,7200,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,56.99,1000,0.057,7200,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,119.99,2000,0.06,SSD,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600,62.99,1000,0.063,SSD,M.2-2280,M.2 PCIe 4.0 X4
PNY CS3140,,8000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,17,500,0.034,7200,3.5,SATA 6.0 Gb/s
Western Digital Green,39.99,240,0.167,SSD,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,237.5,8000,0.03,7200,3.5,SATA 6.0 Gb/s
