name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance RGB 32 GB,109.99,"[5,5200]","[2,16]",3.437,White,15.385,40
Corsair Vengeance RGB 64 GB,209.99,"[5,6000]","[2,32]",3.281,White / Black,13.333,40
Kingston FURY Beast RGB 32 GB,61.99,"[4,3200]","[2,16]",1.937,Black,10,16
Silicon Power SP016GLLTU160N22 16 GB,17.39,"[3,1600]","[2,8]",1.087,Green,13.75,11
TEAMGROUP T-Create Expert 64 GB,159.99,"[5,6000]","[2,32]",2.5,Black,11.333,34
Corsair Vengeance LPX 32 GB,89.99,"[4,3600]","[4,8]",2.812,Black / Yellow,10,18
Corsair Vengeance LPX 16 GB,44.99,"[4,3200]","[2,8]",2.812,Black,10,16
Kingston FURY Beast 16 GB,87.89,"[5,5600]","[2,8]",5.493,Black / Silver,12.857,36
Lexar Ares RGB 32 GB,99.99,"[5,6000]","[2,16]",3.125,Black,10,30
Corsair Dominator Platinum RGB 32 GB,89.99,"[5,5200]","[2,16]",2.812,Black / Silver,15.385,40
Corsair Vengeance LPX 32 GB,89.99,"[4,3600]","[2,16]",2.812,Black / Yellow,8.889,16
Kingston HyperX Fury 8 GB,,"[4,2666]","[1,8]",,Black,12.003,16
TEAMGROUP T-Force Delta RGB 16 GB,44.99,"[4,3200]","[2,8]",2.812,Black,10,16
TEAMGROUP Elite 16 GB,,"[5,4800]","[2,8]",,Black,16.667,40
Corsair Vengeance RGB 64 GB,244.64,"[5,6600]","[2,32]",3.822,Black / Gray,9.697,32
G.Skill Trident Z Royal 32 GB,104.99,"[4,3600]","[2,16]",3.281,Silver,10.556,19
Kingston FURY Beast 16 GB,78.79,"[5,6000]","[2,8]",4.924,Black / Silver,12,36
Patriot Viper Steel 32 GB,57.99,"[4,3200]","[2,16]",1.812,Silver / Black,10,16
TEAMGROUP T-Create Expert 16 GB,34.99,"[4,3200]","[2,8]",2.187,Gray,10,16
TEAMGROUP Elite Plus 16 GB,,"[5,4800]","[2,8]",,Black,16.667,40
Crucial CT25664AA667 2 GB,11,"[2,667]","[1,2]",5.5,Green,14.993,5
TEAMGROUP T-Create Expert 32 GB,104.99,"[5,6000]","[2,16]",3.281,White,10,30
Corsair Vengeance 32 GB,119.99,"[5,6200]","[2,16]",3.75,Black / Silver,9.677,30
Kingston FURY Renegade 16 GB,222.36,"[4,5333]","[2,8]",13.898,Black,7.5,20
ADATA XPG SPECTRIX D50 16 GB,49.99,"[4,3200]","[2,8]",3.124,White,10,16
TEAMGROUP T-Force Delta RGB 32 GB,129.99,"[5,7200]","[2,16]",4.062,Black / White,9.444,34
Corsair Vengeance RGB Pro 64 GB,129.99,"[4,3200]","[2,32]",2.031,Black,10,16
G.Skill Trident Z5 RGB 64 GB,214.99,"[5,6400]","[2,32]",3.359,White / Black,10,32
OLOy MD4U083216BJDA 16 GB,33.99,"[4,3200]","[2,8]",2.124,Black,10,16
Corsair Vengeance RGB Pro 32 GB,109.99,"[4,3200]","[4,8]",3.437,White,10,16
G.Skill Flare X5 32 GB,91.99,"[5,5600]","[2,16]",2.875,Black,10.714,30
Crucial Ballistix 16 GB,,"[4,3200]","[2,8]",,Black,10,16
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,"[4,3200]","[2,8]",2.187,Gray,10,16
Corsair Vengeance RGB RT 32 GB,144.99,"[4,4600]","[2,16]",4.531,Black,7.826,18
G.Skill Ripjaws X 16 GB,36.99,"[3,1600]","[2,8]",2.312,Black / Red,12.5,10
Kingston FURY Beast 16 GB,53.72,"[4,3600]","[2,8]",3.357,Black,9.444,17
Corsair Vengeance RGB 64 GB,214.99,"[5,6000]","[2,32]",3.359,Black,10,30
Corsair Vengeance RGB 64 GB,259.99,"[5,6000]","[4,16]",4.062,Black,12,36
Kingston FURY Beast RGB 64 GB,239.99,"[5,6000]","[2,32]",3.75,Black,12,36
G.Skill Trident Z 32 GB,754.94,"[5,6000]","[2,16]",23.592,White / Black,13.333,40
Kingston Server Premier 64 GB,151.96,"[4,3200]","[1,64]",2.374,,13.75,22
Klevv BOLT X 16 GB,35.99,"[4,3600]","[2,8]",2.249,Black,10,18
Corsair Vengeance 32 GB,104.99,"[5,5600]","[2,16]",3.281,White,12.857,36
Corsair Vengeance 32 GB,99.99,"[5,4800]","[2,16]",3.125,Black,16.667,40
G.Skill Trident Z Neo 16 GB,69.98,"[4,3600]","[2,8]",4.374,Black / Silver,8.889,16
Corsair Vengeance RGB 32 GB,119.99,"[5,6400]","[2,16]",3.75,White / Black,11.25,36
Timetec PINNACLE Konduit 16 GB,32.99,"[4,3200]","[2,8]",2.062,White,10,16
Corsair Vengeance RGB 32 GB,99.99,"[5,6000]","[2,16]",3.125,White / Silver,12,36
TEAMGROUP T-Force Delta RGB 32 GB,92.99,"[5,6000]","[2,16]",2.906,Black,12.667,38
Corsair Vengeance 192 GB,569.99,"[5,5200]","[4,48]",2.969,Black,14.615,38
Corsair Vengeance LPX 16 GB,39.99,"[4,2666]","[2,8]",2.499,Black / Yellow,12.003,16
Corsair Dominator Platinum RGB 32 GB,214.99,"[5,7600]","[2,16]",6.718,Black,9.474,36
TEAMGROUP T-Create Classic 32 GB,49.99,"[4,3200]","[2,16]",1.562,Silver,13.75,22
Corsair Vengeance RGB Pro 16 GB,64.98,"[4,3600]","[2,8]",4.061,White,10,18
TEAMGROUP T-Force Vulcan 32 GB,83.99,"[5,5600]","[2,16]",2.625,Black,12.857,36
Corsair Vengeance RGB 32 GB,114.99,"[5,6400]","[2,16]",3.593,Black,11.25,36
Corsair Vengeance RGB Pro SL 32 GB,89.99,"[4,3600]","[2,16]",2.812,Black,10,18
Crucial CT8G4DFRA32A 8 GB,16.98,"[4,3200]","[1,8]",2.123,Green,13.75,22
G.Skill Ripjaws S5 64 GB,199.99,"[5,6400]","[2,32]",3.125,Black,10,32
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"[5,6400]","[2,16]",3.125,White,12.5,40
G.Skill Ripjaws V 64 GB,139.99,"[4,3200]","[4,16]",2.187,Black,10,16
Lexar THOR 16 GB,55.84,"[4,3200]","[2,8]",3.49,Black,10,16
Corsair Vengeance RGB 32 GB,129.99,"[5,6000]","[2,16]",4.062,White / Silver,10,30
G.Skill Trident Z5 RGB 32 GB,239.99,"[5,8000]","[2,16]",7.5,Black,9.5,38
Crucial CT2K16G4DFRA32A 32 GB,53.09,"[4,3200]","[2,16]",1.659,Green / Black,13.75,22
G.Skill Trident Z5 RGB 32 GB,119.99,"[5,6400]","[2,16]",3.75,Silver / Black,10,32
Crucial CT8G48C40U5 8 GB,22.99,"[5,4800]","[1,8]",2.874,Black,16.667,40
Kingston FURY Beast 32 GB,119.99,"[5,5600]","[2,16]",3.75,Black,12.857,36
Corsair Vengeance RGB RT 32 GB,99.99,"[4,3600]","[2,16]",3.125,Black,8.889,16
G.Skill Trident Z5 Neo RGB 32 GB,106.99,"[5,5600]","[2,16]",3.343,Black,10,28
ADATA XPG LANCER RGB 32 GB,99.99,"[5,6000]","[2,16]",3.125,White,13.333,40
Patriot Viper Black 32 GB,96.99,"[5,6000]","[2,16]",3.031,Black / White,12,36
