name,Price,type,interface,capacity,price_per_gb,color
Western Digital easystore,249,Desktop,USB Type-A 3.2 Gen 1,12000,0.021,
Seagate One Touch,329.62,Desktop,USB Type-A 3.2 Gen 1,14000,0.024,Black
Buffalo Technology DriveStation Axis Velocity,74.99,Desktop,USB Type-A 3.2 Gen 1,2000,0.037,
Western Digital ELEMENTS,124.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.031,
Samsung T5,229.99,Portable,USB Type-C 3.2 Gen 1,500,0.46,
Seagate Expansion,148.55,Desktop,USB Type-A 3.2 Gen 1,3000,0.05,
Samsung T7 Shield,129.99,Portable,USB Type-C 3.2 Gen 2,2000,0.065,Blue
Western Digital easystore,279.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",16000,0.017,Black
Sabrent Rocket Nano V2,159.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.08,Black
Samsung T7 Shield,79.98,Portable,USB Type-C 3.2 Gen 2,1000,0.08,Blue
Kingston XS2000,295.32,Portable,USB Type-C 3.2 Gen 2x2,4000,0.074,Silver
Samsung T7 Portable,89.55,Portable,USB Type-C 3.2 Gen 1,1000,0.09,Red / Silver
Samsung T7 Portable,139.99,Portable,USB Type-C 3.2 Gen 1,2000,0.07,Blue / Silver
Samsung T7 Portable,81.61,Portable,USB Type-C 3.2 Gen 1,500,0.163,Black / Silver
Seagate Expansion,129.99,Portable,USB Type-A 3.2 Gen 1,5000,0.026,Black
Toshiba Canvio Desk,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Western Digital easystore,0,Desktop,USB Type-A 3.2 Gen 2,10000,,Black
Seagate Expansion,294.92,Desktop,USB Type-A 3.2 Gen 1,10000,0.029,Black
Toshiba Canvio Connect,0,Portable,USB Type-A 3.2 Gen 1,500,,
Freecom Mobile Drive Classic 3.0,0,Portable,USB Type-A 3.2 Gen 1,1000,,Black
Samsung T7 Shield,129.99,Portable,USB Type-C 3.2 Gen 2,2000,0.065,Beige
SanDisk Extreme 900,99.99,Portable,USB Type-A 3.2 Gen 2,960,0.104,
Samsung T9 Portable,139.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.14,Black
Western Digital My Book Duo,998,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000,0.125,Black
Transcend StoreJet,85.59,Portable,USB Type-A 3.2 Gen 1,2000,0.043,
Seagate One Touch,88.5,Portable,USB Type-A 3.2 Gen 1,1000,0.088,Silver
Buffalo Technology DriveStation Combo 4,370.69,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type",2000,0.185,
Western Digital My Book,177.98,Desktop,USB Type-A 3.2 Gen 1,4000,0.044,
Seagate Backup Plus Hub,244.19,Desktop,USB Type-A 3.2 Gen 1,10000,0.024,Black
Western Digital ELEMENTS,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricom Aegis Padlock,483,Portable,USB Type-A 3.2 Gen 1,128,3.773,
SanDisk Extreme 900,0,Portable,USB Type-A 3.2 Gen 2,1920,,
Western Digital My Passport,135.99,Portable,USB Type-A 3.2 Gen 1,4000,0.034,Black
Western Digital easystore,180.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.023,
Western Digital ELEMENTS,124.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.021,Black
Silicon Power Bolt B75 Pro,53.97,Portable,USB Type-C 3.2 Gen 2,1000,0.054,Black
Samsung T7 Portable,159.99,Portable,USB Type-C 3.2 Gen 2,1000,0.16,Black
Seagate One Touch,279.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.028,Black
SanDisk Extreme Portable V2,69.99,Portable,USB Type-C 3.2 Gen 1,500,0.14,Black / Orange
Crucial X10 Pro,107.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.108,Black
Sabrent Rocket Nano V2,89.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.09,Black
Seagate Expansion,184.99,Portable,USB Type-C 3.2 Gen 1,1000,0.185,Black
Seagate One Touch,309.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.026,Black
Western Digital WD_BLACK P50,196.99,Portable,USB Type-C 3.2 Gen 1,1000,0.197,Black / Silver
Seagate Game Drive Xbox GamePass Edition,199.91,Portable,USB Type-A 3.2 Gen 1,4000,0.05,White
Western Digital My Book,179,Desktop,USB Type-A 3.2 Gen 1,2000,0.089,
Seagate Backup Plus,219.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.027,
Seagate Expansion,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Seagate Expansion,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital G-DRIVE ev RaW,0,Portable,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",2000,,Silver
Western Digital My Passport,79.98,Portable,USB Type-A 3.2 Gen 1,2000,0.04,Red
Seagate One Touch,119,Portable,USB Type-A 3.2 Gen 1,2000,0.06,Silver
Seagate Barracuda Fast,0,Portable,USB Type-C,2000,,Black
Seagate Expansion,0,Portable,USB Type-C 3.2 Gen 1,2000,,Black
Kingston XS1000,0,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Western Digital My Passport,119.99,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Red
Western Digital My Passport,75.31,Portable,USB Type-A 3.2 Gen 1,2000,0.038,Blue
Western Digital easystore,159.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",8000,0.02,Black
Seagate One Touch,159.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.027,Black
Crucial X9 Pro,109.99,Portable,USB Type-C 3.2 Gen 2,2000,0.055,Silver
ADATA DashDrive Durable HD650,53.95,Portable,USB Type-A 3.2 Gen 1,1000,0.054,
Samsung T7 Portable,79,Portable,USB Type-C 3.2 Gen 1,1000,0.079,Blue / Silver
Silicon Power PC60,118.75,Portable,USB Type-C 3.2 Gen 2,2000,0.059,Black
Apricom Aegis Padlock Fortress,239.99,Portable,USB Type-A 3.2 Gen 1,2000,0.12,Black
Seagate Barracuda Fast,249.99,Portable,USB Type-C,1000,0.25,Black
Buffalo Technology DriveStation Axis Velocity,0,Desktop,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology DriveStation,0,Desktop,Thunderbolt,512,,
LaCie Minimus,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital ELEMENTS,243.79,Desktop,USB Type-A 3.2 Gen 1,5000,0.049,
Western Digital My Book Duo,0,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,,Black
Seagate Backup Plus Slim,0,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Basics 3.0,0,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Connect,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Seagate Backup Plus Portable,0,Portable,USB Type-A 3.2 Gen 1,5000,,Black
Asus FX HDD,0,Portable,USB Type-A 3.2 Gen 2,1000,,Black
Seagate Backup Plus Ultra Touch,99,Portable,USB Type-A 3.2 Gen 1,2000,0.05,White
Samsung T7 Portable,84.99,Portable,USB Type-C 3.2 Gen 1,500,0.17,Blue / Silver
Western Digital My Passport,67.99,Portable,USB Type-A 3.2 Gen 1,1000,0.068,White
Western Digital My Passport,0,Portable,USB Type-A 3.2 Gen 1,5000,,White
Samsung T7 Portable,389.99,Portable,USB Type-C 3.2 Gen 2,2000,0.195,Silver
Samsung T7 Portable,155.99,Portable,USB Type-C 3.2 Gen 2,500,0.312,Black
Seagate One Touch,125.48,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.063,Black
Seagate One Touch,85,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.17,Blue
Seagate One Touch,169.5,Portable,USB Type-A 3.2 Gen 1,5000,0.034,Silver
Seagate Barracuda Fast,0,Portable,USB Type-C,500,,Black
Toshiba Canvio Connect II,89.99,Portable,USB Type-A 3.2 Gen 1,1000,0.09,Black
Crucial X9 Pro,69.98,Portable,USB Type-C 3.2 Gen 2,1000,0.07,Silver
Seagate One Touch,135,Portable,USB Type-A 3.2 Gen 1,4000,0.034,Silver
Seagate Backup Plus Portable,0,Portable,USB Type-A 3.2 Gen 1,5000,,Blue / White
Seagate One Touch,224.5,Portable,USB Type-A 3.2 Gen 1,4000,0.056,Red
LaCie Rugged Mini,79.99,Portable,USB Type-A 3.2 Gen 1,1000,0.08,
Western Digital My Passport,162.91,Portable,USB Type-A 3.2 Gen 1,5000,0.033,Blue
Seagate One Touch,62.99,Portable,USB Type-A 3.2 Gen 1,1000,0.063,Black
Seagate Backup Plus Slim,149.99,Portable,USB Type-A 3.2 Gen 1,2000,0.075,
Transcend StoreJet,64.98,Portable,USB Type-A 3.2 Gen 1,1000,0.065,
Samsung T7 Portable,104.95,Portable,USB Type-C 3.2 Gen 2,500,0.21,Silver
Seagate One Touch,109,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.109,Silver
Seagate One Touch,83.98,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.084,Black
Seagate One Touch,106.1,Portable,USB Type-A 3.2 Gen 1,2000,0.053,Blue
Western Digital My Passport For Mac,129.99,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.13,Black
KIOXIA EXCERIA PLUS,0,Portable,USB Type-C 3.2 Gen 2,1000,,Gray
Buffalo Technology DriveStation Axis Velocity,136.46,Desktop,USB Type-A 3.2 Gen 1,3000,0.045,
Buffalo Technology DriveStation Duo,0,Desktop,USB Type-A 3.2 Gen 1,6000,,
Buffalo Technology DriveStation Duo,0,Desktop,USB Type-A 3.2 Gen 1,8000,,
LaCie d2 Quadra,0,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",3000,,
Western Digital My Book Essential,199.99,Desktop,USB Type-A 3.2 Gen 1,1000,0.2,
Western Digital My Book,199,Desktop,USB Type-A 3.2 Gen 1,3000,0.066,
Western Digital ELEMENTS,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
LaCie 4big Quadra,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",16000,,
LaCie d2,0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",4000,,
Seagate FreeAgent GoFlex Desk,0,Desktop,USB Type-A 2.0,1000,,
Seagate Backup Plus,228.09,Desktop,USB Type-A 3.2 Gen 1,3000,0.076,
Seagate Backup Plus,199,Desktop,USB Type-A 3.2 Gen 1,4000,0.05,
Seagate Backup Plus,0,Desktop,USB Type-A 3.2 Gen 1,6000,,
Hitachi HGST Touro Desk Pro,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Buslink CRF-2T-U2,0,Desktop,USB Type-A 2.0,2000,,
Toshiba Canvio Desk,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Book,187.98,Desktop,USB Type-A 3.2 Gen 1,6000,0.031,
Apricom ASSD-3PL256-120F,0,Desktop,USB Type-A 2.0,120,,
Apricom ASSD-3PL256-240F,186.03,Desktop,USB Type-A 2.0,240,0.775,
Western Digital My Book Duo,0,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",6000,,Black
Western Digital My Book Duo,0,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",12000,,Black
Western Digital easystore,0,Desktop,USB Type-A 3.2 Gen 1,14000,,
Western Digital easystore,234.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",12000,0.02,Black
Seagate Backup Plus Hub,0,Desktop,USB Type-A 3.2 Gen 1,14000,,Black
LaCie Porsche Design,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital My Passport Air,0,Portable,USB Type-A 3.2 Gen 1,500,,
Western Digital My Passport Slim,159.99,Portable,USB Type-A 3.2 Gen 1,1000,0.16,
Western Digital My Passport Studio,0,Portable,"IEEE 1394B 9-Pin, USB Type-A 2.0",2000,,
Western Digital ELEMENTS,0,Portable,USB Type-A 3.2 Gen 1,500,,
Western Digital My Passport Air,0,Portable,USB Type-A 3.2 Gen 1,1000,,
LaCie Rugged,0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",120,,
LaCie Rugged,0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",1000,,
LaCie Rugged,0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",2000,,
Samsung P3,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Seagate GoFlex for Mac,0,Portable,Thunderbolt,1000,,
Seagate Backup Plus,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Hitachi HGST Touro Mobile,0,Portable,USB Type-A 3.2 Gen 1,500,,
Apricom Aegis Padlock Fortress,217.67,Portable,USB Type-A 3.2 Gen 1,1000,0.218,
Apricom Aegis Padlock,0,Portable,"eSATA 3.0 Gb/s, USB Type-A 2.0",1000,,
Lenovo ThinkPad,226.99,Portable,USB Type-A 3.2 Gen 1,1000,0.227,
Seagate Backup Plus,0,Portable,USB Type-A 3.2 Gen 1,4000,,
Seagate STDR5000100,0,Portable,,5000,,
ADATA SD600,0,Portable,USB Type-A 3.2 Gen 1,512,,
Samsung T5,209.99,Portable,USB Type-C 3.2 Gen 1,250,0.84,Blue
Seagate Backup Plus Portable,0,Portable,USB Type-A 3.2 Gen 1,5000,,Silver
Seagate Backup Plus Ultra Touch,99.99,Portable,USB Type-A 3.2 Gen 1,1000,0.1,Black
Western Digital My Passport,63.39,Portable,USB Type-A 3.2 Gen 1,1000,0.063,Red
Western Digital My Passport,79.99,Portable,USB Type-A 3.2 Gen 1,2000,0.04,White
Western Digital My Passport,104.99,Portable,USB Type-A 3.2 Gen 1,4000,0.026,Blue
Apacer AS722,0,Portable,USB Type-C 3.2 Gen 1,1000,,Black
SanDisk G-DRIVE ArmorLock,133.28,Portable,USB Type-C 3.2 Gen 1,1000,0.133,Black / Yellow
Samsung T3 Portable,0,Portable,USB Type-C 3.2 Gen 1,1000,,
Seagate One Touch,59.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.12,Black
Seagate One Touch,135.63,Portable,USB Type-A 3.2 Gen 1,5000,0.027,Red
Seagate One Touch,0,Portable,USB Type-A 3.2 Gen 1,5000,,Gray
Verbatim Vx460,46.27,Portable,USB Type-A 3.2 Gen 1,512,0.09,Black
LaCie Rugged Mini,99.99,Portable,USB Type-A 3.2 Gen 1,2000,0.05,Orange / Silver
Seagate Expansion,0,Portable,USB Type-C 3.2 Gen 1,500,,Black
Silicon Power Bolt B75 Pro,0,Portable,USB Type-C 3.2 Gen 2,512,,Black
Silicon Power Bolt B75,59.7,Portable,USB Type-C 3.2 Gen 1,480,0.124,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,256,,Silver
Silicon Power Stream S05,0,Portable,USB Type-A 3.2 Gen 1,5000,,Black
Silicon Power Bolt B75 Pro,0,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Seagate One Touch,124.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.031,Black
Western Digital WDBGPU0010BBK-NESN,59.99,Portable,,1000,0.06,
Samsung T7 Portable,139.85,Portable,USB Type-C 3.2 Gen 1,2000,0.07,Red / Silver
Samsung T7 Shield,79.99,Portable,USB Type-C 3.2 Gen 2,1000,0.08,Beige
Seagate One Touch,101.49,Portable,USB Type-A 3.2 Gen 1,2000,0.051,Gray
Silicon Power PC60,70.89,Portable,USB Type-C 3.2 Gen 2,1000,0.071,Black
Silicon Power PC60,0,Portable,USB Type-C 3.2 Gen 2,512,,Black
Seagate Backup Plus,159.99,Desktop,USB Type-A 3.2 Gen 1,2000,0.08,
Transcend StoreJet 35T3,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
Transcend StoreJet,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital My Passport,67.98,Portable,USB Type-A 3.2 Gen 1,1000,0.068,Blue
Crucial X8,0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",500,,Black
Buffalo Technology DriveStation Axis,0,Desktop,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology DriveStation,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
