name,Price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Basilisk V3 X Hyperspeed,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Razer Naga X,44.99,Optical,Wired,18000,Right,Black
Logitech PRO X Superlight 2,159,Optical,"Wired, Wireless",32000,Right,Pink
EVGA X20,22.99,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Gray / Black
Razer Viper,43.99,Optical,Wired,16000,Both,Pink / Gray
Corsair IRONCLAW RGB FPS/MOBA,49.99,Optical,Wired,18000,Right,Black
Cooler Master MM710 Glossy Black,19.97,Optical,Wired,16000,Right,Black
Razer Cobra,39.75,Optical,Wired,8500,Right,Black
Logitech MX Vertical,83.99,Optical,Wireless,4000,Right,Gray / Silver
Razer Basilisk V2,76.69,Optical,Wired,20000,Right,Black
Logitech M720 Triathlon,33.99,Optical,Bluetooth Wireless,1000,Right,Black
Microsoft MHC-00001,193.4,Optical,Wireless,,Both,Black
Asus ROG Keris Wireless EVA Edition,89.99,Optical,Wired,,Both,Black / Purple
Gigabyte AORUS M5,44.23,Optical,Wired,16000,Right,Black
Logitech T650,347.62,Touchpad,Wireless,,Both,Silver
Logitech M330 SILENT PLUS,19.98,Optical,Wireless,1000,Right,Black
Glorious Model O-,49.99,Optical,Wired,12000,Right,Black
Logitech G305 LIGHTSPEED,44.99,Optical,Wireless,12000,Right,Purple
Razer Viper Ultimate w/Dock,,Optical,Wireless,20000,Both,Yellow / Black
Logitech M705,34.99,Laser,Wireless,,Right,Black
Asus ROG Gladius III,49.99,Optical,Wired,26000,Right,Black
Logitech G903,97.99,Optical,Wireless,12000,Both,Black / Blue
Razer Viper,,Optical,Wired,16000,Both,Black / Green
Corsair SCIMITAR PRO RGB,,Optical,Wired,16000,Right,Black
Asus TUF Gaming M4 Air,35.99,Optical,Wired,16000,Right,Black
Logitech G403 Prodigy,59.98,Optical,Wired,12000,Right,Black
