name,price,core_count,boost_clock,tdp,smt
Intel Core i3-4170,,2,,54,TRUE
Intel Xeon E5-2680 V4,1975,14,3.3,120,TRUE
AMD FX-9590,302.58,8,5,220,FALSE
AMD Threadripper 2970WX,1150,24,4.2,250,TRUE
AMD Ryzen 3 3200G,,4,4,65,FALSE
Intel Core i7-6700,263.57,4,4,65,TRUE
Intel Core i9-10920X,779.99,12,4.8,165,TRUE
Intel Core i3-3220,,2,,55,TRUE
Intel Pentium G4400,43.99,2,,54,FALSE
AMD FX-8300,120,8,,95,FALSE
Intel Core i9-7920X,554.41,12,4.4,140,TRUE
Intel Pentium G4560,,2,,54,TRUE
Intel Core i5-2500,,4,,95,FALSE
Intel Core 2 Quad Q9550,52.55,4,,95,FALSE
AMD Ryzen 5 2600X,,6,4.2,95,TRUE
AMD Ryzen 9 3900,,12,,65,TRUE
AMD FX-6350,100,6,,125,FALSE
Intel Core i5-4670,146.3,4,,84,FALSE
Intel Celeron G3900,39.95,2,,51,FALSE
Intel Core i5-3330,,4,,77,FALSE
Intel Core i3-8100,124.01,4,,65,FALSE
Intel Celeron G5905,46.8,2,,58,FALSE
Intel Pentium E5700,19.98,2,,65,FALSE
Intel Core i7-9700K,,8,4.9,95,FALSE
Intel Core i7-5960X,,8,3.5,140,TRUE
Intel Core i5-10600,302.66,6,4.8,65,TRUE
Intel Core i3-8350K,185,4,,91,FALSE
Intel Core i7-920,90,4,,130,TRUE
Intel Core i7-5930K,,6,3.7,140,TRUE
AMD Ryzen 5 PRO 7645,,6,5.1,65,TRUE
Intel Core i9-7980XE,1186,18,4.4,165,TRUE
AMD Athlon X2 370K,,2,,65,FALSE
AMD FX-6120,58.53,6,4.1,95,FALSE
Intel Core i7-6700K,,4,4.2,91,TRUE
Intel Core i3-10300,109.99,4,4.4,65,TRUE
Intel Core i7-4820K,120.04,4,3.9,130,TRUE
AMD FX-4300,,4,,95,FALSE
AMD A4-6300,46.79,2,3.9,65,FALSE
AMD 5350,120,4,,25,FALSE
AMD Ryzen 5 3400G,,4,4.2,65,TRUE
Intel Celeron G4900T,59.95,2,,35,FALSE
AMD FX-6100,72.8,6,,95,FALSE
Intel Core i7-7740X,385,4,4.5,112,TRUE
Intel Core i5-4440S,123.85,4,3.3,65,FALSE
Intel Core i7-3930K,291.98,6,,130,TRUE
Intel Core i7-6950X,439,10,3.5,140,TRUE
Intel Celeron 420,49.95,1,,35,FALSE
Intel Pentium E2220,19.98,2,,65,FALSE
Intel Core i3-4160,,2,,54,TRUE
Intel Core i7-9700F,375.86,8,4.7,65,FALSE
AMD Phenom II X6 1090T Black,249.98,6,,125,FALSE
Intel Core i7-3820,,4,,130,TRUE
Intel Xeon E5-2650,52.27,8,2.8,95,TRUE
Intel Core i9-10940X,873.79,14,4.8,165,TRUE
Intel Core i5-2400S,70,4,,65,FALSE
Intel Core i7-4960X Extreme Edition,1000,6,4,130,TRUE
Intel Core i7-9800X,399.95,8,4.5,165,TRUE
AMD A8-7600,,4,3.8,65,FALSE
AMD A6-6400K,75,2,,65,FALSE
AMD A8-6600K,92.86,4,,100,FALSE
Intel Core i3-12100T,,4,4.1,35,TRUE
AMD Ryzen 7 PRO 7745,,8,5.3,65,TRUE
Intel Core i5-6402P,97,4,3.4,65,FALSE
Intel Xeon E5-2697 V2,,12,3.5,130,TRUE
AMD Ryzen 7 1700X,,8,3.8,95,TRUE
Intel Core i3-13100T,,4,4.2,35,TRUE
Intel Core i5-8500T,,6,3.5,35,FALSE
Intel Xeon E5-2683 V4,1969.95,16,3,120,TRUE
Intel Xeon E5-1630 V4,499.95,4,4,140,TRUE
Intel Core i7-9700,335.33,8,4.7,65,FALSE
Intel Xeon E5-2699 V3,,18,3.6,145,TRUE
Intel Xeon E5-2680,62.54,8,3.5,130,TRUE
Intel Pentium G4600,54.59,2,,51,TRUE
AMD A10-9700,120,4,3.8,65,FALSE
Intel Xeon E5-1620 V3,66.5,4,3.6,140,TRUE
Intel Core i7-4770S,230.61,4,,65,TRUE
Intel Xeon E5-2660 V4,206.63,14,3.2,105,TRUE
Intel Core i3-530,45,2,,73,TRUE
Intel Core i9-9960X,,16,4.4,165,TRUE
Intel Core i3-10305,109.99,4,4.5,65,TRUE
Intel Core i7-13700T,,16,4.9,35,TRUE
AMD Opteron 6344,81.67,12,3.2,115,FALSE
Intel Pentium G640,30,2,,65,FALSE
Intel Core 2 Quad Q6600,104.97,4,,100,FALSE
Intel Core i5-9600K,,6,4.6,95,FALSE
Intel Core i9-9980XE,1073,18,4.4,165,TRUE
AMD A10-7850K,139.84,4,4,95,FALSE
Intel Core i5-11600,220,6,4.8,65,TRUE
AMD A10-6800K,,4,,100,FALSE
Intel Core i7-870,100,4,,95,TRUE
Intel Celeron E3400,18.98,2,,65,FALSE
Intel Xeon E3-1231 V3,,4,3.8,80,TRUE
Intel Core i5-7640X,146,4,4.2,112,FALSE
Intel Core 2 Quad Q9300,98.95,4,,95,FALSE
AMD Athlon II X4 640,57.01,4,,95,FALSE
Intel Pentium Gold G6405,88.19,2,,58,TRUE
Intel Core i5-4430,,4,,84,FALSE
AMD Ryzen 7 2700,,8,4.1,65,TRUE
Intel Xeon E5-1650 V3,138.51,6,3.8,140,TRUE
Intel Pentium E5400,,2,,65,FALSE
Intel Core i7-10700K Avengers Collector's Edition,269,8,5.1,125,TRUE
Intel Core i5-9600,210,6,4.6,65,FALSE
Intel Xeon E5-1660 V3,398.95,8,3.5,140,TRUE
Intel Core i7-860,339,4,,95,TRUE
Intel Core i3-6300,90.03,2,,51,TRUE
Intel Pentium Gold G5400,99,2,,58,TRUE
Intel Core i7-5775C,240,4,3.7,65,TRUE
Intel Core i7-7800X,289.95,6,4,140,TRUE
AMD FX-9370,229.97,8,4.7,220,FALSE
AMD FX-8350,202.57,8,,125,FALSE
Intel Xeon E5-2630,37.49,6,,95,TRUE
Intel Xeon E5-2630 V3,169.95,8,3.2,85,TRUE
Intel Core i7-980X Extreme Edition,153.64,6,,130,TRUE
AMD FX-4350,122.96,4,,125,FALSE
AMD A8-9600,,4,3.4,65,FALSE
Intel Pentium Gold G6600,,2,,58,TRUE
Intel Core i5-3450,245.33,4,,77,FALSE
Intel Xeon E5-2620 V3,46.19,6,3.2,85,TRUE
Intel Core i7-950,100,4,,130,TRUE
Intel Xeon E5-2650 V2,185,8,3.4,95,TRUE
Intel Core i5-4590S,,4,3.7,65,FALSE
Intel Core i7-4790S,,4,4,65,TRUE
AMD Ryzen 3 2200G,,4,3.7,65,FALSE
AMD FX-6300,78.51,6,,95,FALSE
Intel Core i7-4770K,228.9,4,3.9,84,TRUE
Intel Core i3-3240,113.99,2,,55,TRUE
Intel Pentium Gold G6605,47.98,2,,58,TRUE
Intel Core 2 Quad Q9650,,4,,95,FALSE
Intel Core 2 Extreme QX9770,,4,,136,FALSE
AMD Athlon II 160u,,1,,20,FALSE
Intel Core i5-8600K,,6,4.3,95,FALSE
Intel Core i5-7400T,119,4,3,35,FALSE
Intel Core i9-7900X,1498.95,10,4.5,140,TRUE
Intel Core i5-2320,,4,,95,FALSE
Intel Pentium G2020,34.99,2,,55,FALSE
Intel Core i7-3770S,206,4,,65,TRUE
AMD A6-9500,89.95,2,3.8,65,FALSE
Intel Core i5-750,81,4,,95,FALSE
Intel Pentium G3258,68,2,,53,FALSE
