name,Price,rpm,noise_level,color,size
StarTech FAN775E,14.99,,,,
ARCTIC Liquid Freezer II 360 Rev. 2,130,"[200,1800]",,Black,360
Deepcool LS520,108.81,"[500,2250]",,Black,240
Corsair iCUE LINK H150i RGB,249.99,"[480,2400]",,White,360
Corsair iCUE H170i ELITE LCD,331.05,"[400,1600]","[10,31.8]",Black,420
Corsair iCUE H60x RGB ELITE,,,"[7,28]",Black,120
EK AIO 280 D-RGB,74.99,"[500,2000]",,Black / Translucent White,280
Lian Li Galahad II Trinity,142.59,,,White,360
Deepcool AG500 BK ARGB,38.99,"[300,1850]",,Black,
MSI MAG CORELIQUID C360,125.45,"[500,2000]","[14.3,34.3]",Black,360
NZXT Kraken 280 RGB,191.99,"[500,1500]",,White,280
MSI MEG CORELIQUID S360,235,,,Black,360
be quiet! Pure Rock LP,49.9,,,Black,
Corsair iCUE H100i RGB ELITE,127.99,"[400,1850]","[5,28.9]",White,240
Noctua NH-D15S,99.95,"[300,1500]","[19.2,24.6]",,
ARCTIC Freezer 34 eSports DUO,45.99,"[200,2100]",,White / Gray,
Asus ROG STRIX LC II ARGB,144.99,"[800,2500]",,White / Black,360
Cooler Master MasterLiquid 360L Core,119.99,"[350,1750]",,White,360
Cooler Master Hyper 212 EVO V2,39.5,"[650,1800]","[8,27]",,
NZXT Kraken Elite 240 RGB,251.49,"[500,1800]","[17.9,30.6]",Black,240
Gigabyte AORUS WATERFORCE X,189.2,"[800,2500]","[7.9,37.6]",Black,360
Fractal Design Lumen S24 RGB V2,113.98,"[500,2000]","[10,33.2]",Black,240
be quiet! Pure Loop 2 FX,154.9,,"[8,34]",Black,360
Deepcool AG620 BK ARGB,47.99,"[300,1850]",,Black,
EK EK-Nucleus AIO CR360 Lux D-RGB,204.99,"[550,2300]",,Black,360
Cooler Master MasterLiquid ML360 Illusion,154.04,"[650,1800]","[6,30]",Black / Silver,360
Cooler Master Hyper 212 RGB Black Edition,94.5,"[650,2000]","[8,30]",Black,
Thermalright Assassin Spirit V2,,,,Gray,
NZXT Kraken Z53,,"[500,2000]","[21,36]",Black,240
Thermalright AXP90-X47,30.9,,,White,
Asus ROG Ryujin III,319.99,"[450,2000]",,Black,360
Lian Li Galahad II Trinity,149.99,,,Black,360
Asus TUF GAMING LC 240 ARGB,119.99,"[800,2000]",,Black,240
Corsair iCUE H115i RGB ELITE,159.99,"[400,1600]","[19,35.8]",Black,280
Thermalright Assassin X Refined SE,19,,,White / Silver,
Thermalright Assassin King SE ARGB,19.29,,,Silver / Gray,
Deepcool LE720,131.81,"[500,2250]",,Black,360
Noctua NH-L9A-AM5,44.95,"[600,2500]","[14.8,23.6]",Brown / Silver,
Cooler Master Hyper 212 Halo,44.05,"[650,2050]",,White,
Corsair H100i RGB PLATINUM,328.34,,,Black / Silver,240
Lian Li Galahad II Trinity,114.99,,,White,240
Noctua NH-U14S,79.95,"[300,1500]","[19.2,24.6]",,
Cooler Master Hyper H412R,22.99,"[600,2000]",,Black,
