name,price,type,efficiency,wattage,modular,color
Corsair CV450,,ATX,bronze,450,false,Black
Corsair HX1000 Platinum,254.99,ATX,platinum,1000,Full,
EVGA 650 BQ,134.97,ATX,bronze,650,Semi,
Logisys PS480D2,16.98,ATX,,480,false,
Corsair RM750x (2018),168.99,ATX,gold,750,Full,Black
ARESGAME AGV,,ATX,bronze,650,false,Black
be quiet! System Power 9 500 CM,123.32,ATX,bronze,500,Semi,Black
EVGA SuperNOVA 850 G5,134.99,ATX,gold,850,Full,Black / Green
Thermaltake Smart Pro RGB,81.45,ATX,bronze,650,Full,
be quiet! System Power 10,195.28,ATX,gold,850,false,Black
ADATA XPG CORE Reactor 650,89.99,ATX,gold,650,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,139.99,ATX,gold,1050,Full,Black
Silverstone SFX,110.88,SFX,gold,500,Full,
Corsair RMe (2023),179.99,ATX,gold,1200,Full,Black
SeaSonic FOCUS PX,189.99,ATX,platinum,850,Full,Black
ADATA XPG PYLON,75.89,ATX,bronze,650,false,Black
be quiet! Dark Power 13,249.9,ATX,titanium,850,Full,Black
Corsair CX550M,236,ATX,bronze,550,Semi,
Corsair RM850x (2018),144.99,ATX,gold,850,Full,Black
Cooler Master V750 Gold i,138.68,ATX,gold,750,Full,Black / Gold
Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
EVGA SuperNOVA 650 G5,109.99,ATX,gold,650,Full,Black / Green
be quiet! Straight Power 11 750W,135.99,ATX,gold,750,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,104.99,ATX,gold,850,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,750,false,Black
MSI MEG Ai1000P PCIE5,267.44,ATX,platinum,1000,Full,Black / Copper
Asus ROG THOR P2 Gaming,159.99,ATX,platinum,850,Full,Black / Silver
EVGA 550 B5,151.66,ATX,bronze,550,Full,Black
be quiet! System Power 10,144,ATX,bronze,550,false,Black
SeaSonic G12 GM,123.6,ATX,gold,650,Semi,Black / Blue
Rosewill HIVE,85.99,ATX,bronze,850,Full,
SeaSonic FOCUS,147.98,ATX,gold,850,Semi,Black
Corsair RM650x (2018),179.27,ATX,gold,650,Full,Black / Silver
be quiet! SFX L Power,128.58,SFX,gold,600,Full,
Super Flower Leadex,,ATX,platinum,2000,Full,
Deepcool PQ1000M,149.99,ATX,gold,1000,Full,Black
EVGA 750 BP,79.99,ATX,bronze,750,false,Black
Asus ROG Strix,157.16,ATX,gold,750,Full,Black / Red
GameMax GM,,ATX,bronze,500,Semi,Black
EVGA 750 GQ,109.95,ATX,gold,750,Semi,
SeaSonic PRIME Ultra Titanium,284.99,ATX,titanium,1000,Full,
EVGA 850 GQ,173.02,ATX,gold,850,Semi,
ADATA XPG CORE Reactor 750,99.99,ATX,gold,750,Full,Black
Corsair AX1200i,,ATX,platinum,1200,Full,
NZXT C650 (2022),119.99,ATX,gold,650,Full,Black
Thermaltake Smart BM3,69.98,ATX,bronze,650,Semi,Black
Apevia Signature,69.98,ATX,bronze,1050,Semi,Black
Gigabyte UD1000GM PG5 (rev. 2.0),129.99,ATX,gold,1000,Full,Black
Deepcool PQ850M,122.99,ATX,gold,850,Full,Black
be quiet! Straight Power 12,249.9,ATX,platinum,1200,Full,Black
Cooler Master V650 SFX GOLD,123.72,SFX,gold,650,Full,Black
Deepcool PQ750M,109.99,ATX,gold,750,Full,Black
EVGA GE,89.99,ATX,gold,800,false,Black
Cooler Master V650 V2,130.76,ATX,gold,650,Full,White
SeaSonic PRIME TX,439.99,ATX,titanium,1300,Full,Black / Silver
be quiet! Straight Power 11,,ATX,platinum,850,Full,Black
Asus ROG LOKI,199.99,SFX,platinum,850,Full,Black / Silver
GameMax RGB Rainbow,109.99,ATX,gold,850,Full,Black
Super Flower Leadex III Gold,,ATX,gold,650,Full,Black
Silverstone SX1000-LPT,287.85,SFX,platinum,1000,Full,Black
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1000,Full,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black
EVGA 850 BQ,104.99,ATX,bronze,850,Semi,
EVGA SuperNOVA 1600 T2,599.99,ATX,titanium,1600,Full,
EVGA 500 BQ,115.99,ATX,bronze,500,Semi,
SeaSonic G12 GM,,ATX,gold,750,Semi,Black / Blue
be quiet! Straight Power 12,202.34,ATX,platinum,850,Full,Black
EVGA SuperNOVA 1000 G6,204.37,ATX,gold,1000,Full,Black
Corsair HX1200i,599,ATX,platinum,1200,Full,
Super Flower Leadex III Gold,104.99,ATX,gold,750,Full,Black
EVGA 450 BR,,ATX,bronze,450,false,
EVGA SuperNOVA 850 G2,319.99,ATX,gold,850,Full,
Corsair RM750x White (2018),248,ATX,gold,750,Full,White / Black
SeaSonic VERTEX GX-1000,219.99,ATX,gold,1000,Full,Black / Silver
SeaSonic FOCUS GX,,ATX,gold,550,Full,Black
SeaSonic FOCUS Plus Platinum,149.99,ATX,platinum,650,Full,
Thermaltake Smart BX1 650,64.98,ATX,bronze,650,false,Black
Super Flower Leadex III Gold,114.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF3 TT Premium,164.99,ATX,gold,1200,Full,Black
Super Flower Leadex Platinum SE,179.99,ATX,platinum,1200,Full,Black
Corsair CX550F,94.99,ATX,bronze,550,Full,White / Black
Silverstone HELA 1200R,233.03,ATX,platinum,1200,Full,Black
be quiet! System Power 9 700 CM,148.2,ATX,bronze,700,Semi,Black
GameMax GX Pro Rampage,99.99,ATX,gold,850,Full,Black
Corsair CX650M,218,ATX,bronze,650,Semi,
Corsair RM850e (2022),292.33,ATX,gold,850,Full,Black
EVGA SuperNOVA 750 G3,277.99,ATX,gold,750,Full,
Asus ROG THOR 850P,224.2,ATX,platinum,850,Full,Black / Red
EVGA 600 BQ,,ATX,bronze,600,Semi,
Thermaltake Toughpower GF3 TT Premium,194.99,ATX,gold,1350,Full,Black
KOLINK Core RGB,,ATX,plus,500,false,Black
ARESGAME AGV,,ATX,bronze,500,false,Black
Corsair HX850 Platinum,379,ATX,platinum,850,Full,
Asus ROG THOR P2 Gaming EVA Edition,470.15,ATX,platinum,1000,Full,Black / Silver
Thermaltake TR2,,ATX,,500,false,
SeaSonic FOCUS Plus Gold,199.99,ATX,gold,1000,Full,Black
Super Flower Leadex V Pro,169.99,ATX,platinum,1000,Full,White
Asus ROG Strix,,ATX,gold,650,Full,Black / Red
EVGA SuperNOVA 550 GM,139.99,SFX,gold,550,Full,Black
Cooler Master V850 V2,,ATX,gold,850,Full,White
Corsair RM650,194.88,ATX,gold,650,Full,Black
be quiet! SFX L Power,165.93,SFX,gold,500,Full,
EVGA SuperNOVA 1000 P3,219.99,ATX,platinum,1000,Full,Black / Silver
KOLINK Classic Power,,ATX,bronze,700,false,Black / Red
Aerocool LUX RGB 750M (230V EU),,ATX,bronze,750,Semi,Black
be quiet! Pure Power 11 600,119.92,ATX,gold,600,Semi,Black
be quiet! Dark Power 13,209.9,ATX,titanium,750,Full,Black
EVGA SuperNOVA 450 GM,,SFX,gold,450,Full,Black
EVGA SuperNOVA 850 G3,,ATX,gold,850,Full,
EVGA 650 GQ,157.99,ATX,gold,650,Semi,
Corsair CX550 (2017),,ATX,bronze,550,false,
Cooler Master V850 Gold i,228.36,ATX,gold,850,Full,Black / Gold
MSI MPG A1000G,,ATX,gold,1000,Full,Black
Corsair RM850x,184.99,ATX,gold,850,Full,
Cooler Master MasterWatt,111.72,ATX,bronze,750,Semi,Black
EVGA 850 B5,109.99,ATX,bronze,850,Full,Black
Corsair TX550M Gold,99.99,ATX,gold,550,Semi,
SeaSonic G12 GM,114.3,ATX,gold,550,Semi,Black / Blue
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
Fractal Design Ion Gold,139.29,ATX,gold,750,Full,Black
GameMax GP,,ATX,bronze,650,false,Black
Corsair RM850,226.99,ATX,gold,850,Full,Black
Thermaltake Smart BM2,,ATX,bronze,650,Semi,Black
CoolMax ZX-500,39.99,ATX,plus,500,false,
Deepcool PM850D,97.98,ATX,gold,850,false,Black
Asus ROG Strix Aura Edition,221.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1600 P+,360.31,ATX,platinum,1600,Full,Black
Corsair SF600,,SFX,gold,600,Full,
Segotep GM,,ATX,gold,750,Full,Black
Silverstone FX600 Platinum,179.99,Flex ATX,,600,false,Black
KOLINK Classic Power,,ATX,bronze,500,false,Black / Red
be quiet! Straight Power 11,218.59,ATX,platinum,1000,Full,Black
Corsair CX450M (2015),136.72,ATX,bronze,450,Semi,
Vetroo GV1000,135.99,ATX,gold,1000,Full,White
Raidmax Cobra,49.99,ATX,bronze,700,false,
Thermaltake Smart BX1 550,,ATX,bronze,550,false,Black
Deepcool PM750D,100.14,ATX,gold,750,false,Black
Corsair RM750x,179.95,ATX,gold,750,Full,
Thermaltake Toughpower GF1 PE,,ATX,gold,650,Full,
be quiet! Straight Power 11 850W,169.9,ATX,gold,850,Full,
be quiet! SFX Power 3 450,144,SFX,bronze,450,false,Black
Gigabyte AORUS P1200W,289.99,ATX,platinum,1200,Full,Black
Cooler Master MWE Gold 650,,ATX,gold,650,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,550,false,Black
EVGA SuperNOVA 1000 P6,289.99,ATX,platinum,1000,Full,Black / Silver
Deepcool PF600 230V,,ATX,plus,600,false,Black
EVGA SuperNOVA 1000 G5,179.99,ATX,gold,1000,Full,Black / Green
be quiet! Pure Power 11,,ATX,gold,700,false,Black
PowerSpec PS 650BF,74.98,ATX,bronze,650,false,Black
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
be quiet! Pure Power 12 M,199.9,ATX,gold,1200,Full,Black
Corsair CX750F,219.99,ATX,bronze,750,Full,White / Black
Cooler Master G700,,ATX,gold,700,false,Black
Apevia Prestige,74.98,ATX,gold,1000,false,Black
Rosewill HIVE S,89.99,ATX,bronze,1000,Full,
FSP Group Hydro G Pro,191.31,ATX,gold,1000,Full,Black
Thermaltake Toughpower GX1 500,,ATX,gold,500,false,Black
Cooler Master Elite V3,,ATX,plus,600,false,Black
ARESGAME AGV,,ATX,bronze,750,Semi,Black
Super Flower Legion GX Pro,89.99,ATX,gold,850,Semi,Black
be quiet! Straight Power 11,158.59,ATX,platinum,750,Full,Black
EVGA SuperNOVA 1600 G+,219.99,ATX,gold,1600,Full,Black
Cooler Master V750 V2,,ATX,gold,750,Full,White
Corsair HX1000i,449,ATX,platinum,1000,Full,
Corsair CX750F,,ATX,bronze,750,Full,Black
EVGA SuperNOVA 650 G3,172.49,ATX,gold,650,Full,
Apex AG-M,84.99,ATX,gold,750,Full,Black
SeaSonic B12 BC,,ATX,bronze,750,false,
Raidmax RX-530SS,39.99,ATX,,530,Semi,
Cooler Master MasterWatt,111.92,ATX,bronze,650,Semi,
PowerSpec PS 750BSM,79.98,ATX,bronze,750,Semi,Black
Silverstone DA850 Gold,,ATX,gold,850,Full,Black / White
Super Flower Leadex III ARGB,169.99,ATX,gold,750,Full,White
SeaSonic G12 GC,,ATX,gold,850,false,Black / Blue
be quiet! Pure Power 11,,ATX,bronze,300,false,Black
Deepcool PK650D,,ATX,bronze,650,false,Black
EVGA SuperNOVA 650 P5,119.99,ATX,platinum,650,Full,Black / Teal
Thermaltake Smart,,ATX,plus,430,false,Black / White
be quiet! Straight Power 11,258.59,ATX,platinum,1200,Full,Black
Corsair VS550 (2018),,ATX,plus,550,false,
MSI MPG A750G PCIE5,110.99,ATX,gold,750,Full,Black
Silverstone DA750 Gold,131.21,ATX,gold,750,Full,Black / White
Cooler Master V750 SFX GOLD,178.99,SFX,gold,750,Full,White
Corsair RM750,218.99,ATX,gold,750,Full,Black
SeaSonic PRIME PX-1600 ATX 3.0,509.99,ATX,platinum,1600,Full,Black / Silver
Corsair CX600M,,ATX,bronze,600,Semi,
Corsair TX650M,,ATX,gold,650,Semi,Black
Silverstone Strider,,ATX,gold,650,Full,
Fractal Design Ion Gold,197.55,ATX,gold,850,Full,Black
Cooler Master V SFX Platinum,,SFX,platinum,1300,Full,Black
EVGA SuperNOVA 650 G2,,ATX,gold,650,Full,
Super Flower LEADEX VII XG,184.99,ATX,gold,1300,Full,Black
Phanteks Revolt SFX,189.99,SFX,platinum,850,Full,Black
be quiet! System Power 9 CM,138.94,ATX,bronze,400,Semi,Black
Apevia Spirit,,ATX,,600,false,
be quiet! Pure Power 11,,ATX,gold,500,false,Black
SeaSonic FOCUS Gold,93.99,ATX,gold,550,Semi,
Corsair HX750 Platinum,289,ATX,platinum,750,Full,
Gigabyte UD850GM PG5 (rev. 2.0),160.98,ATX,gold,850,Full,Black
Deepcool PX-G,142.29,ATX,gold,1000,Full,Black
Rosewill HIVE,,ATX,bronze,650,Semi,
Corsair CX600,,ATX,bronze,600,false,
Silverstone Essential,59.99,ATX,bronze,550,false,Black
EVGA SuperNOVA 750 G6,140.88,ATX,gold,750,Full,Black
Cooler Master MWE White V2 230V,,ATX,plus,650,false,Black
Corsair Vengeance 750M,94.99,ATX,silver,750,Semi,
EVGA SuperNOVA 1000 G+,,ATX,gold,1000,Full,Black
Cougar POLAR,249.9,ATX,platinum,1200,Full,White
Corsair RM1000e (2022),245,ATX,gold,1000,Full,Black
Silverstone SFX,73.98,SFX,bronze,300,false,Black
Corsair RM850x (2018),280,ATX,gold,850,Full,White / Black
Corsair RM750,219.99,ATX,gold,750,Full,
EVGA SuperNOVA 850 P6,206.42,ATX,platinum,850,Full,Black / Silver
Deepcool PK750D,,ATX,bronze,750,false,Black
Corsair SF450,299.99,SFX,platinum,450,Full,Black
Corsair CX750M V2 (2017 Edition),209,ATX,bronze,750,Semi,Black / White
Asus ROG LOKI,310.5,SFX,platinum,750,Full,Black / Silver
Enermax REVOLUTION D.F. 2,149.99,ATX,gold,1200,Full,Black
Deepcool PF650 230V,,ATX,plus,650,false,Black
SeaSonic PRIME TX-1600 ATX 3.0,,ATX,titanium,1600,Full,Black / Silver
Thermaltake Smart BX1,104.68,ATX,bronze,750,false,Black
Cooler Master MWE Bronze V2,,ATX,bronze,450,false,Black
ADATA XPG PYLON,,ATX,bronze,550,false,Black
Thermaltake Toughpower TF1 - TT Premium,399.99,ATX,titanium,1550,Full,Black
Fractal Design Ion SFX 650G,,SFX,gold,650,Full,Black
Corsair CX650F,199.93,ATX,bronze,650,Full,Black
Thermaltake Toughpower GX1,81.66,ATX,gold,600,false,Black
SeaSonic VERTEX PX-1200,329.99,ATX,platinum,1200,Full,Black / Silver
Montech TITAN GOLD 1000W,164.99,ATX,gold,1000,Full,Black
SeaSonic B12 BC,,ATX,bronze,650,false,
Silverstone Extreme 850R Platinum,218.13,SFX,platinum,850,Full,Black
EVGA 750 BQ,,ATX,bronze,750,Semi,
Vetroo GV1000,129.99,ATX,gold,1000,Full,Black
Silverstone FX350-G,97.99,Flex ATX,gold,350,false,Black
SeaSonic FOCUS SGX (2021),169.99,SFX,gold,750,Full,Black
GameMax RGB Rainbow,99.99,ATX,gold,750,Full,Black
Cooler Master XG850 Plus,169.99,ATX,platinum,850,Full,Black
iTek GF EVO,,ATX,gold,650,Full,Black
Deepcool PF500 230V,,ATX,plus,500,false,Black
SeaSonic VERTEX PX-1000,279.99,ATX,platinum,1000,Full,Black / Silver
Cooler Master MWE White V2 230V,91.33,ATX,plus,700,false,Black
be quiet! Dark Power Pro 12,,ATX,titanium,1200,Full,Black
Corsair HX1000i (2022),360,ATX,platinum,1000,Full,Black
Asus ROG LOKI,,SFX,platinum,850,Full,White / Silver
Asus TUF Gaming,,ATX,bronze,750,false,Black
Corsair RM650 (2019),216.53,ATX,gold,650,Full,Black
Xilence XP500R6,89.19,ATX,,500,false,Black / Red
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,
Cooler Master Elite 400 V3,75.47,ATX,plus,400,false,Black
EVGA SuperNOVA 1600 P2,559.29,ATX,platinum,1600,Full,
be quiet! Dark Power Pro 12,457.98,ATX,titanium,1500,Full,Black
GameMax RGB Rainbow,,ATX,gold,550,Full,Black
Corsair VS350,,ATX,plus,350,false,Black
Thermaltake Thermaltake TP-750M,87.44,ATX,gold,750,Semi,
Corsair TX650M Gold,,ATX,gold,650,Semi,
EVGA 550 BP,65.84,ATX,bronze,550,false,Black
Corsair RM850 (2019),217.89,ATX,gold,850,Full,Black
Corsair RM550x (2021),,ATX,gold,550,Full,Black
SeaSonic FOCUS,234.71,ATX,platinum,550,Full,Black
Corsair VS650 (2018),464.94,ATX,plus,650,false,
Corsair RM750e (2022),158.99,ATX,gold,750,Full,Black
Corsair VS450,99.98,ATX,plus,450,false,
Asus TUF Gaming 650B,,ATX,bronze,650,false,Black
Corsair RM850x White,336.2,ATX,gold,850,Full,White / Black
EVGA SuperNOVA 1600 G2,661.3,ATX,gold,1600,Full,
Cooler Master Elite V3,,ATX,,500,false,Black
Deepcool PK550D,,ATX,bronze,550,false,Black
Antec Signature,300.58,ATX,titanium,1000,Full,Black / Silver
Raidmax XT,30.99,ATX,,400,false,
be quiet! Pure Power 9 CM,151.7,ATX,bronze,600,Semi,Black
Corsair CXM,159.54,ATX,bronze,750,Semi,
