name,style,switches,backlit,tenkeyless,connection_type,color
Corsair K60 RGB Pro,81.15,Cherry Viola,RGB,FALSE,Wired,Black
HP HyperX Alloy Core RGB,35.99,,RGB,FALSE,Wired,Black
Redragon K552,36.99,Outemu Blue,Red,TRUE,Wired,Black
Logitech G19s,809.06,,,FALSE,Wired,Black
Logitech K120,12.99,,,FALSE,Wired,Black
Microsoft Natural Desktop 7000,769.95,,,FALSE,Wireless,Black / Silver
Razer Huntsman Mini,99.99,Razer Purple Optical Clicky,RGB,TRUE,Wired,White
SteelSeries Apex Pro TKL,124.99,SteelSeries QX2 OmniPoint,RGB,TRUE,Wired,Black
Turtle Beach IMPACT 100,7.95,,,FALSE,Wired,Black / Red
Logitech G915 Lightspeed,186.99,Logitech GL Tactile,RGB,FALSE,Wireless,Black
Razer Huntsman Mini,92.99,Razer Red Optical Linear,RGB,TRUE,Wired,Black
Corsair K55 RGB PRO,49.88,,Multicolor,FALSE,Wired,Black
SteelSeries Apex Pro,192.99,OmniPoint Adjustable,RGB,FALSE,Wired,Black
Razer BlackWidow V3,80.48,Razer Green,RGB,TRUE,Wired,Black
Logitech G915 TKL,151.8,GL Tactile,RGB,TRUE,Wireless,Black
SteelSeries Apex 3 TKL RGB,34.99,,RGB,TRUE,Wired,Black
Corsair K100 RGB,202.99,Corsair OPX,RGB,FALSE,Wired,Black
Logitech G413 SE,49.99,Kailh LT Brown,White,TRUE,Wired,Black
G.Skill KM360,49.99,Cherry MX Red,White,TRUE,Wired,White
Logitech G715,181.99,GX Brown,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
HP HyperX Alloy Origins Core,79.98,HyperX Red,RGB,TRUE,Wired,Black
Corsair K70 RGB PRO,129.99,Cherry MX Red,RGB,FALSE,Wired,Black
Razer Huntsman Elite,250.04,Razer Purple,RGB,FALSE,Wired,Black
Corsair K65 60%,93.99,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
Redragon S113,37.59,Outemu Brown,RGB,TRUE,Wired,Black
E-element Z88RGB81WRZ,34.99,Outemu Blue,Multicolor,TRUE,Wired,White
Logitech G213 PRODIGY,49.99,,RGB,FALSE,Wired,Black
Asus ROG Azoth,218.99,ROG NX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K582 SURARA,44.99,Outemu Red,RGB,FALSE,Wired,Black
Logitech G413 Carbon,60,Romer-G Tactile,Red,FALSE,Wired,Black
SteelSeries Apex 3,39.99,,RGB,FALSE,Wired,Black
Corsair K95 RGB PLATINUM,274,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Corsair K100 AIR Wireless,219.99,Cherry MX Ultra Low Profile Tactile,RGB,FALSE,"Wired, Wireless, Bluetooth Wireless",Black
Wooting Two HE,0,Lekker linear60,RGB,FALSE,Wired,Black
Logitech Wireless Combo MK270,27.99,,,FALSE,Wireless,Black
Razer BlackWidow V4 Pro,229.99,Razer Green,RGB,FALSE,Wired,Black
Asceny One,24.99,Gateron Blue Optical,RGB,TRUE,Wired,Black
Logitech MK120,18.49,,,FALSE,Wired,Black
Keychron K2 V2 Aluminum,99.99,Gateron G Pro Brown,RGB,TRUE,Wireless,Black / Gray
Logitech G PRO,79.95,GX Blue,RGB,TRUE,Wired,Black
Corsair K70 RGB PRO,139.99,Cherry OPX,RGB,FALSE,Wired,White
Razer Ornata Chroma,99.99,,RGB,FALSE,Wired,Black
Razer BlackWidow Elite,215,Razer Green,RGB,FALSE,Wired,Black
Logitech G512 CARBON,99.99,GX Brown,RGB,FALSE,Wired,Black
Razer BlackWidow X Chroma Mercury Edition,0,Razer Green,RGB,FALSE,Wired,Silver / White
Whirlwind FX Element V2,29.99,Gateron Red,RGB,FALSE,Wired,Black
SteelSeries Apex 7 TKL,83.99,SteelSeries QX2 Red,RGB,TRUE,Wired,Black
Razer Huntsman Tournament Edition,89.99,Razer Red Optical Linear,RGB,TRUE,Wired,Black
Logitech MX Keys Advanced,96.99,,White,FALSE,Wireless,Black
Logitech G610,86.8,Cherry MX Red,White,FALSE,Wired,Black
Corsair K70 RGB MK.2 SE,179.99,Cherry MX Speed Silver,RGB,FALSE,Wired,White / Silver
RK Royal Kludge RK61,49.99,RK Red,White,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Cooler Master SK620,29.99,TTC Red,RGB,TRUE,Wired,Gray / Black
Logitech K120 - UK Layout,28.56,,,FALSE,Wired,Black
Corsair K65 RGB MINI,89.99,Cherry MX Speed Silver,RGB,TRUE,Wired,White
Keychron C2,78.98,Gateron G Pro Brown Hot-swappable,White,FALSE,Wired,Black / White
Glorious GMMK,79.98,Gateron Brown,RGB,TRUE,Wired,Black
Redragon K596 Vishnu,74.98,Outemu Red,RGB,TRUE,Wireless,Black
G.Skill KM360,49.99,Cherry MX Red,White,TRUE,Wired,Black
HP HyperX Alloy Origins,70.31,HyperX Red,RGB,FALSE,Wired,Black
Logitech G915 Lightspeed,237.99,Logitech GL Linear,RGB,FALSE,Wireless,Black
Corsair K55 RGB PRO XT,79.99,,RGB,FALSE,Wired,Black
Razer Blackwidow V3 - Quartz,99.99,Razer Green,RGB,FALSE,Wired,Pink
Logitech G613,74.8,Romer-G Tactile,,FALSE,Wireless,Black
Microsoft WTA-00001,749.95,,,FALSE,Wireless,Black / Silver
Razer BlackWidow V3 Pro,169.99,Razer Yellow,RGB,FALSE,Wireless,Black
Corsair K95 RGB PLATINUM,297.47,Cherry MX Speed Silver,RGB,FALSE,Wired,Gunmetal
Redragon DEVARAIAS K556 RGB,59.99,Outemu Brown,RGB,FALSE,Wired,Black
Asus ROG Strix Flare II Animate,179.99,ROG NX Red,RGB,FALSE,Wired,Black
MSI VIGOR,24.99,,RGB,FALSE,Wired,Black / Gray
Razer BlackWidow V3 Mini HyperSpeed,79.98,Razer Green,RGB,TRUE,Wireless,Black
Logitech G915 TKL,201.99,GL Tactile,RGB,TRUE,Wireless,White / Silver
Asus ROG CLAYMORE II,295.08,ROG RX Red Optical,RGB,FALSE,Wireless,Black
SteelSeries Apex 100,22.99,,Blue,FALSE,Wired,Black
HP HyperX Alloy Origins Core,78.99,HyperX Aqua,RGB,TRUE,Wired,Black
SteelSeries Apex 5,98.99,,RGB,FALSE,Wired,Black
Razer Huntsman V2,109,Razer Red Optical Linear,RGB,TRUE,Wired,Black
EVGA Z15,49.99,Kailh Silver Speed,RGB,FALSE,Wired,Black
SHARKOON Skiller,0,,,FALSE,Wired,Black
Razer Cynosa V2,65.98,,RGB,FALSE,Wired,Black
Logitech diNovo Edge,709.48,,,FALSE,Bluetooth Wireless,Black / White
Logitech PRO X,191.71,Logitech GX Brown Tactile,RGB,TRUE,"Wired, Wired, Wireless, Bluetooth Wireless",White
Tecware Phantom RGB,45.99,Outemu Red,RGB,TRUE,Wired,Black
Logitech G815 Lightsync RGB,193.07,GL Tactile,RGB,FALSE,Wired,Black
Verbatim 99201,10,,,FALSE,Wired,Black
Ducky One 2 Mini,0,Cherry MX Red,RGB,TRUE,Wired,White / Black
Corsair Vengeance K70,0,Cherry MX Red,Red,FALSE,Wired,Black
Razer Huntsman V2 Analog,240,Razer Analog Optical,RGB,FALSE,Wired,Black
Redragon S101,39.99,,,FALSE,Wired,Black / Red
AmazonBasics KU-0833 +MSU0939,15.46,,,FALSE,Wired,Black
Razer Huntsman Mini,99,Razer Red Optical Linear,RGB,TRUE,Wired,White
Logitech G915 TKL,229.99,GL Linear,RGB,TRUE,Wireless,Black
Razer BlackWidow V3,72.97,Razer Yellow,RGB,TRUE,Wired,Black
Logitech MK235,23.99,,,FALSE,Wireless,Black
MSI Vigor GK30,39.76,,RGB,FALSE,Wired,Black
Corsair K70 RGB MK.2,0,Cherry MX Red,RGB,FALSE,Wired,Black
Logitech G510,558.88,,Multicolor,FALSE,Wired,Black
Rosewill NEON K42,17.99,,RGB,FALSE,Wired,Black
Dell KB216,14.99,,,FALSE,Wired,Black
Rosewill NEON K54,19.98,,RGB,FALSE,Wired,Black
Razer Huntsman Mini,99.99,Razer Purple Optical Clicky,RGB,TRUE,Wired,Black
Corsair K70 PRO MINI,109.99,Cherry MX Red,RGB,TRUE,"Wired, Bluetooth Wireless",White
Razer Ornata V2,0,,RGB,FALSE,Wired,Black
Logitech G810 Orion Spectrum RGB,308.98,Romer-G Tactile,RGB,FALSE,Wired,Black
Corsair STRAFE RGB MK.2,125.2,Cherry MX Red,RGB,FALSE,Wired,
Razer BlackWidow V3,125.99,Razer Green,RGB,FALSE,Wired,Black
Asus M601 ROG FALCHION/RD/US,149,Cherry MX Red,RGB,TRUE,Wireless,Black
Corsair K70 RGB TKL CHAMPION SERIES,134.02,Cherry MX Red,RGB,TRUE,Wired,Black
Logitech MK200,19.98,,,FALSE,Wired,Black
Corsair K95 RGB PLATINUM ND,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
GMMK Glorious Modular Mechanical Gaming Keyboard,79.98,Gateron Brown,RGB,TRUE,Wired,Black
Gigabyte AORUS K1,79.98,Cherry MX Red,RGB,FALSE,Wired,Black
HP HyperX Alloy Elite 2,94.99,HyperX Red,RGB,FALSE,Wired,Black
Corsair K70 PRO MINI,155.99,Cherry MX Speed Silver,RGB,TRUE,Wireless,Black
Corsair K100 RGB,199.99,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Logitech G710 Plus,284.53,Cherry MX Brown,White,FALSE,Wired,Black
Corsair K63,79.99,Cherry MX Red,Red,TRUE,Wired,Black
Asus ROG Strix Scope,106.53,ROG NX Red,RGB,TRUE,Wired,White / Gray
Ducky One 3 Matcha,119,Cherry MX Red,,TRUE,Wired,Beige / Green
SteelSeries Apex 7,135.99,SteelSeries QX2 Red,RGB,FALSE,Wired,Black
Asus ROG CLAYMORE II,214.99,ROG RX Blue Optical,RGB,FALSE,Wireless,Black
Logitech G512 CARBON,103.9,Romer-G Tactile,RGB,FALSE,Wired,Black
Corsair K57 RGB,97.99,,RGB,FALSE,Bluetooth Wireless,Black
Logitech G Pro,147.97,Romer-G Tactile,RGB,TRUE,Wired,Black
Razer DeathStalker V2 Pro,219.99,Razer Red Low-Profile Optical Linear,RGB,TRUE,Wireless,Black
Corsair K60 RGB Pro SE,79.98,Cherry Viola,RGB,FALSE,Wired,Black
Logitech K830,0,,White,TRUE,Wireless,Black
Keychron K10 Pro QMK/VIA,114.99,Keychron K Pro Brown,RGB,FALSE,"Wired, Bluetooth Wireless",Black / Gray
Adesso AKB-132PB,16.75,,,FALSE,Wired,Black
Corsair K95 RGB PLATINUM XT,189.99,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
RK Royal Kludge RK71,0,RK Brown,RGB,TRUE,Bluetooth Wireless,White
Happy Hacking Professional 2,0,Topre 45g,,TRUE,Wired,White
ROCCAT Vulcan TKL Pro,99.99,Roccat Titan Optical,RGB,TRUE,Wired,Black
Asus ROG Strix Flare (Cherry MX Red),147.3,Cherry MX Red,RGB,FALSE,Wired,Black
Redragon K552-RGB,0,Outemu Blue,RGB,TRUE,Wired,Black
Keychron Q6,215.99,Gateron G Pro Red,RGB,FALSE,Wired,Blue
Logitech G910 Orion Spectrum RGB,226.02,Romer-G Tactile,RGB,FALSE,Wired,Black
Logitech G915 Lightspeed,219.99,Logitech GL Clicky,RGB,FALSE,Wireless,Black
Razer Cynosa Chroma,79.98,,RGB,FALSE,Wired,Black
Corsair K70 RGB TKL CHAMPION SERIES,114.99,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
Logitech MX Mechanical,169.99,Kailh Choc V2 Brown,White,FALSE,Wireless,Gray / Black
NZXT Function MiniTKL,96.33,Gateron Red,RGB,TRUE,Wired,Black
Logitech MK550,59.99,,,FALSE,Wireless,Black
Redragon K552-R KUMARA,47.38,Outemu Blue,RGB,TRUE,Wired,Black
Ducky One 2 RGB TKL,0,Cherry MX Blue,RGB,TRUE,Wired,Black
Das Keyboard 4 Professional,179,Cherry MX Brown,,FALSE,Wired,Black / Red
Corsair K100 RGB,249.99,Corsair OPX,RGB,FALSE,Wired,Gold / Black
Logitech G513 Carbon,129.99,GX Blue,RGB,FALSE,Wired,Black
Cooler Master SK620,55,TTC Red,RGB,TRUE,Wired,Silver / White
Keychron K4 V2,99.99,Gateron G Pro Brown,RGB,FALSE,"Wired, Bluetooth Wireless",Black / Gray
Microsoft APB-00001,39.92,,,FALSE,Wired,Black
Keychron K3,99.99,Optical Brown,RGB,TRUE,Wired,Gray / Black
Asus ROG Azoth,242.99,ROG NX Brown,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Ducky One 2 Mini,0,Cherry MX Brown,RGB,TRUE,Wired,White / Black
Corsair K60 Pro,84.99,Cherry OPX,RGB,TRUE,Wired,Black
Razer BlackWidow V4 Pro,229.99,Razer Yellow,RGB,FALSE,Wired,Black
Redragon K551-RGB VARA,0,Outemu Blue,RGB,FALSE,Wired,Black
Logitech K120,19.98,,,FALSE,Wired,Black
Corsair K70 MAX RGB US,229.99,Corsair MGX Steel Grey,RGB,FALSE,Wired,Black
Logitech PRO X,179.99,Logitech GX Blue Clicky,RGB,TRUE,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V2,159.99,Razer Red Optical Linear,RGB,FALSE,Wired,Black
Cooler Master SK620,29.99,TTC Blue,RGB,TRUE,Wired,Gray / Black
Tecware Phantom RGB,45.99,Outemu Blue,RGB,TRUE,Wired,Black
Asus ROG Strix Scope RX EVA Edition,0,ROG RX Blue Optical,RGB,FALSE,Wired,Purple
Razer BlackWidow V3 Mini HyperSpeed,101.99,Razer Yellow,RGB,TRUE,Wireless,Black
NZXT Function,89.98,Gateron Red,RGB,FALSE,Wired,White / Black
Logitech G815 Lightsync RGB,199.99,GL Clicky,RGB,FALSE,Wired,Black
Logitech K400 Plus,26.99,,,TRUE,Wireless,Black / Yellow
Logitech G Pro X,119.99,Logitech GX Blue Clicky,RGB,TRUE,Wired,Black
Corsair K70 RGB PRO,129.99,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
NZXT Function Tenkeyless,79.98,Gateron Red,RGB,TRUE,Wired,Black
Keychron C2,66.98,Gateron G Pro Brown,White,FALSE,Wired,Black / White
SteelSeries Apex 7,137.99,SteelSeries QX2 Blue,RGB,FALSE,Wired,Black
Corsair K63 (MX Red w/Blue LED),79.99,Cherry MX Red,Blue,TRUE,Wireless,
Rosewill RKM-1000,33.11,,,FALSE,Wireless,Black
Razer BlackWidow V4,169.99,Razer Yellow,RGB,FALSE,Wired,Black
Corsair K70 RGB MK.2,159.99,Cherry MX Brown,RGB,FALSE,Wired,Black
Logitech K270,24.18,,,FALSE,Wireless,Black
Logitech K750,43.99,,,FALSE,Wireless,Black
Corsair K70 RGB PRO,129.99,Cherry MX Blue,RGB,FALSE,Wired,Black
RK Royal Kludge RK61,49.99,RK Brown,White,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Redragon K512 SHIVA RGB,36.97,,RGB,FALSE,Wired,Black
Logitech K350,39.99,,,FALSE,Wireless,Black
RK Royal Kludge RK71,0,RK Brown,RGB,TRUE,Bluetooth Wireless,Black
Cooler Master SK620,28.97,TTC Blue,RGB,TRUE,Wired,Silver / White
Asus ROG Strix Flare (Cherry MX Brown),113.57,Cherry MX Brown,RGB,FALSE,Wired,Black
Logitech MX 5500 Revolution,598.74,,,FALSE,Wireless,Black
Cooler Master SK653,49.99,TTC Blue Low Profile,RGB,FALSE,Bluetooth Wireless,White / Silver
RK Royal Kludge RK61,49.99,RK Blue,White,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Logitech G13,477.99,,RGB,TRUE,Wired,Black
Logitech G715,195.9,GX Blue,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Rosewill NEON K51W,24.99,,RGB,FALSE,Wired,White
Logitech G715,190.99,GX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Razer DeathStalker V2 Pro,249,Razer Red Low-Profile Optical Linear,RGB,FALSE,Wireless,Black
Logitech ERGO K860,119.99,,,FALSE,Bluetooth Wireless,Black
Akko 5087S Shine-Through,84.26,Akko CS Jelly Pink Linear,RGB,TRUE,Wired,Black
Keychron K2 Plastic,79.98,Gateron G Pro Brown,White,TRUE,Wireless,Black / Gray
Keychron K2 Plastic,89.99,Gateron G Pro Red,RGB,TRUE,Wireless,Black / Gray
Corsair K70 PRO MINI,99.99,Cherry MX Red,RGB,TRUE,Wireless,Black
Rii RK100,0,,Multicolor,FALSE,Wired,
Corsair K70 RGB PRO,129.99,Cherry MX Brown,RGB,FALSE,Wired,Black
Cooler Master Devastator 3 (2022),46.98,,RGB,FALSE,Wired,Black
Logitech G110,508.63,,Multicolor,FALSE,Wired,Black
Corsair K65 RGB MINI,90.99,Cherry MX Red,RGB,TRUE,Wired,Black
Logitech K845,54.7,TTC Red,White,FALSE,Wired,Black
Logitech G512 CARBON,99.99,GX Red,RGB,FALSE,Wired,Black
Corsair RGB MK.2 Low Profile RAPIDFIRE,149.99,Cherry MX Low Profile Speed Silver,RGB,FALSE,Wired,Black
Cherry JK-0800,20.5,,,FALSE,Wired,Black
Kinesis Gaming KB600,339,Cherry MX Brown,,TRUE,Wired,Black / Blue
Topre Realforce 87U,0,Topre Variable,Blue,TRUE,Wired,Black
EVGA Z20,59.99,LK Light Strike Linear,RGB,FALSE,Wired,Black
Das Keyboard Model S Professional,129,Cherry MX Brown,,FALSE,Wired,Black
Razer Huntsman V2,105.99,Razer Purple Optical Clicky,RGB,TRUE,Wired,Black
ADATA XPG INFAREX K10,39.99,,RGB,FALSE,Wired,Black
Qisan Magicforce,39.97,Outemu Brown,,TRUE,Wired,White
Logitech PRO X,191.08,Logitech GX Red Linear,RGB,TRUE,,Black
HP HyperX Alloy Origins,115.98,HyperX Aqua,RGB,FALSE,Wired,Black
Logitech MK540 ADVANCED,58.9,,,FALSE,Wireless,Black
Logitech K845,79.99,Cherry MX Red,White,FALSE,Wired,Black
ROCCAT Vulcan 122 AIMO,196.27,Roccat Titan Brown,RGB,FALSE,Wired,Silver
V7 CKW200US,22.36,,,FALSE,Wireless,Black
Wooting One,0,Flaretech Red,RGB,TRUE,Wired,Black
Razer BlackWidow V3,74.98,Razer Yellow,RGB,FALSE,Wired,Black
Razer BlackWidow 2019,76.98,Razer Green,RGB,FALSE,Wired,Black
Corsair K68,0,Cherry MX Red,Red,FALSE,Wired,Black
Keychron K3,99.99,Optical Red,RGB,TRUE,Wired,Gray / Black
SteelSeries Apex 7 TKL,99.99,SteelSeries QX2 Brown,RGB,TRUE,Wired,Black
Corsair K70 PRO MINI,109.99,Cherry MX Speed Silver,RGB,TRUE,"Wired, Bluetooth Wireless",White
Verbatim 98121,0,,,FALSE,Wired,Black
Tempest K8,0,,Multicolor,FALSE,Wired,Black
FNATIC miniSTREAK RGB,299,Cherry MX Silent Red,RGB,TRUE,Wired,Black
Thermaltake POSEIDON Z,79.98,Kailh Blue,Blue,FALSE,Wired,Black
ROCCAT Vulcan 121 Aimo RGB,87.99,Roccat Titan Red,RGB,FALSE,Wired,Black
Asus TUF Gaming Combo K1 & M3,69.99,,RGB,FALSE,Wired,Gunmetal
Corsair K55 RGB,0,,RGB,FALSE,Wired,Black
Asus TUF Gaming K7,80.06,Optical-mech Tactile,RGB,FALSE,Wired,Black
Corsair K68 RGB,169,Cherry MX Red,RGB,FALSE,Wired,Black
Razer BlackWidow Chroma V2,0,Razer Green,RGB,FALSE,Wired,Black
Asus ROG Azoth,242.99,ROG NX Blue,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Logitech MX Mechanical Mini,149.99,Kailh Choc V2 Red,White,TRUE,Wireless,
Asus TUF Gaming K3,81.99,Kailh Red,RGB,FALSE,Wired,Black
Logitech G710,377.95,Cherry MX Blue,White,FALSE,Wired,Black / Blue
Logitech G510s,399.99,,Multicolor,FALSE,Wired,Black
MSI VIGOR GK50 ELITE LL,49.99,Kailh Blue,RGB,FALSE,Wired,Silver / Black
Tecware Phantom RGB,45.99,Outemu Brown,RGB,TRUE,Wired,Black
Logitech MX KEYS S,109.99,,,FALSE,"Wired, Wireless, Bluetooth Wireless",Black
HP OMEN 1100,64.97,Greetech Blue,Red,FALSE,Wired,Black / Red
Razer BlackWidow V3 Pro,214.99,Razer Green,RGB,FALSE,Wireless,Black
Razer Ornata,99.99,,Green,FALSE,Wired,Black
Razer Huntsman V2,149.99,Razer Purple Optical Clicky,RGB,FALSE,Wired,Black
Rosewill NEON K90 RGB,34.99,Kailh Blue,RGB,FALSE,Wired,Black
Keychron K4 V2,99.99,Gateron G Pro Blue,RGB,FALSE,"Wired, Bluetooth Wireless",Black / Gray
Razer BlackWidow Lite,72.69,Razer Orange,White,TRUE,Wired,Black
Logitech MK520,39.99,,,FALSE,Wireless,Black
Corsair K65 PRO MINI,129.99,Corsair OPX,RGB,TRUE,,Black
Logitech G815 Lightsync RGB,195.99,GL Linear,RGB,FALSE,Wired,Black
Corsair K65 RGB MINI,109.99,Cherry MX Red,RGB,TRUE,Wired,White
DROP CTRL,240,Cherry MX Brown,RGB,TRUE,Wired,Silver / Black
Razer DeathStalker V2 Pro,249,Razer Purple Low-Profile Optical Clicky,RGB,FALSE,Wireless,Black
Logitech G413 SE,0,Kailh LT Brown,White,TRUE,Wired,Black
EagleTec KG010-N,36.99,Outemu Blue,,FALSE,Wired,Black
Logitech K380,29.99,,,TRUE,Bluetooth Wireless,Black
Corsair K95 RGB PLATINUM,259,Cherry MX Brown,RGB,FALSE,Wired,Black
Logitech CRAFT,148.99,,,FALSE,Wireless,Black
EVGA Z20,57,LK Light Strike Clicky,RGB,FALSE,Wired,Black
Logitech MX KEYS MINI,89.99,,,TRUE,"Wired, Wireless, Bluetooth Wireless",Gray
Corsair STRAFE RGB,0,Cherry MX Red,RGB,FALSE,Wired,Black
Razer TARTARUS V2,64.99,,RGB,TRUE,Wired,Black
Lenovo 300,19.16,,,FALSE,Wired,Black
Asus ROG Strix Flare PNK LTD,0,Cherry MX Red,RGB,FALSE,Wired,Pink / White
Asus TUF Gaming K1,0,,RGB,FALSE,Wired,Black
Corsair K70 RGB PRO,129.99,Cherry OPX,RGB,FALSE,Wired,Black
Keychron K2 V2 Aluminum,0,Gateron G Pro Red,RGB,TRUE,Wireless,Black / Gray
Corsair K70 RGB MK.2,225,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
NZXT Function Tenkeyless,79.98,Gateron Red,RGB,TRUE,Wired,White / Black
Logitech MK295 SILENT,39.99,,,FALSE,"Wired, Wireless",Black
ROCCAT VULCAN 120 AIMO,79.95,Roccat Titan Brown,RGB,FALSE,Wired,Black
Logitech MK320,24.99,,,FALSE,Wireless,Black
Alienware AW510K Dark side of the moon,129.99,Cherry MX Low Profile Red,RGB,FALSE,Wired,Black / Silver
HP HyperX Alloy FPS Pro,0,Cherry MX Red,Red,TRUE,Wired,Black
MSI VIGOR GK50 LOW PROFILE,64.98,Kailh Blue Low Profile,RGB,FALSE,Wired,Silver / Black
Ducky Ducky One 2 SF RGB,0,Cherry MX Black,RGB,TRUE,Wired,Black
SteelSeries Apex 7 TKL,96.99,SteelSeries QX2 Blue,RGB,TRUE,Wired,Black
Logitech MK345,49.99,,,FALSE,Wireless,Black / Blue
Cooler Master Devastator 3,0,,Multicolor,FALSE,Wired,Black
Razer Pro Type Ultra - US,0,Razer Yellow,White,FALSE,"Wired, Wireless, Bluetooth Wireless",White / Gray
Verbatim 99793,15.99,,,FALSE,Wireless,Black
Razer BlackWidow V4,169.99,Razer Green,RGB,FALSE,Wired,Black
Cooler Master MS110,0,,RGB,FALSE,Wired,Black
Microsoft ANB-00006,29.95,,,FALSE,Wired,Black
Razer Tartarus Pro,129.99,Razer Red Optical Linear,RGB,TRUE,Wired,Black
GameMax Pulse,0,,Multicolor,FALSE,Wired,Black
NZXT Function,120.63,Gateron Red,RGB,FALSE,Wired,Black
Adesso AKB-111UB,14.99,,,TRUE,Wired,Black
Keychron K2 V2 Aluminum,99.99,Gateron G Pro Blue,RGB,TRUE,Wireless,Black / Gray
Keychron K4 V2,99.99,Gateron G Pro Red,RGB,FALSE,"Wired, Bluetooth Wireless",Black / Gray
Ducky Mecha Mini v2,129,Cherry MX Brown,RGB,TRUE,Wired,Black
Keychron C1 Pro V1,59.99,Keychron K Pro Red,White,TRUE,Wired,Black / Gray
Asus ROG Strix Scope,119.99,ROG NX Brown,RGB,TRUE,Wired,White / Gray
Asus ROG Strix Scope,0,Cherry MX Blue,RGB,FALSE,Wired,Black
ROCCAT Vulcan 121 Aimo RGB,47.85,Roccat Titan Brown,RGB,FALSE,Wired,Black
Logitech K400,36.89,,,TRUE,Wireless,Black
Rosewill NEON K51B,19.99,,RGB,FALSE,Wired,Black
SteelSeries Apex 7,134.99,SteelSeries QX2 Brown,RGB,FALSE,Wired,Black
Logitech K845,59.99,TTC Brown,White,FALSE,Wired,Black
Corsair K70 RGB TKL CHAMPION SERIES,129.99,Corsair OPX,RGB,TRUE,Wired,Black
Redragon K580 VATA,0,Outemu Blue,RGB,FALSE,Wired,Black
Razer Blackwidow Ultimate 2013,169.68,Cherry MX Blue,Green,FALSE,Wired,Black
Logitech G413 SE,0,Kailh LT Brown,White,FALSE,Wired,Black
Velocifire TKL78,0,Outemu Brown,Blue,TRUE,Wired,Black
Cooler Master SK653,112.36,TTC Red Low Profile,RGB,FALSE,Bluetooth Wireless,Gray / Black
Logitech K845,75.99,Cherry MX Blue,White,FALSE,Wired,Black
Microsoft Desktop 900,49.99,,,FALSE,Wireless,Black
ROCCAT Vulcan Pro,69.98,Roccat Titan Red,RGB,FALSE,Wired,Black
Logitech MX Mechanical,169.99,Kailh Choc V2 Red,White,FALSE,Wireless,
RK Royal Kludge RK71,0,RK Red,RGB,TRUE,Bluetooth Wireless,White
Logitech G915 TKL,195.52,GL Clicky,RGB,TRUE,Wireless,Black
Glorious GMMK,0,Gateron Brown,RGB,FALSE,Wired,Black
Patriot Viper V770,99.99,Kailh Red,RGB,FALSE,Wired,Black
Adesso Multimedia Desktop Keyboard,12.95,,,FALSE,Wired,Black
Asus ROG Strix Flare II Animate,219.99,ROG NX Brown,RGB,FALSE,Wired,Black
HP USB Keyboard,15.99,,,FALSE,Wired,Black
Logitech G Pro X,0,Logitech GX Brown Tactile,RGB,TRUE,Wired,Black
Logitech MK295,28.99,,,FALSE,Wireless,Black
Microsoft ANB-00001,0,,,FALSE,Wired,Black
Corsair K70 RGB RAPIDFIRE,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
NZXT Function MiniTKL,69.98,Gateron Red,RGB,TRUE,Wired,White / Black
Logitech K360,24.99,,,FALSE,Wireless,Black
AOC GK500,39.99,Outemu Red,RGB,FALSE,Wired,Black
Cooler Master SK620,62.08,TTC Brown,RGB,TRUE,Wired,Gray / Black
Redragon K550 RGB YAMA,76.98,Outemu Purple,RGB,FALSE,Wired,Black
Drevo BladeMaster TE RGB,0,Gateron Red,RGB,TRUE,Wired,Black
Corsair K63 Special Edition (MX Red),109.99,Cherry MX Red,Blue,TRUE,Wireless,
Logitech G910 Orion Spark,280,Romer-G Tactile,RGB,FALSE,Wired,Black
HP Alloy Origins,70.31,HyperX Blue,RGB,FALSE,Wired,Black
Logitech K270,0,,,FALSE,Wireless,Black
Keychron K2 Plastic,79.98,Gateron G Pro Blue,White,TRUE,Wireless,Black / Gray
Keychron K2 Hot-swappable,0,Gateron Blue,RGB,TRUE,Wireless,Black / White
Razer BlackWidow Chroma,0,Razer Green,RGB,FALSE,Wired,Black
SteelSeries 68095,44.87,,,FALSE,Wired,Black
Ducky One 3 Matcha,119,Cherry MX Blue,,TRUE,Wired,Beige / Green
EVGA Z15,84,Kailh Bronze Speed,RGB,FALSE,Wired,Black
